s,real,imag
0,-15.0,15.0
1,-15.0,13.0
2,-15.0,9.0
3,-15.0,11.0
4,-15.0,1.0
5,-15.0,3.0
6,-15.0,7.0
7,-15.0,5.0
8,-15.0,-15.0
9,-15.0,-13.0
10,-15.0,-9.0
11,-15.0,-11.0
12,-15.0,-1.0
13,-15.0,-3.0
14,-15.0,-7.0
15,-15.0,-5.0
16,-13.0,15.0
17,-13.0,13.0
18,-13.0,9.0
19,-13.0,11.0
20,-13.0,1.0
21,-13.0,3.0
22,-13.0,7.0
23,-13.0,5.0
24,-13.0,-15.0
25,-13.0,-13.0
26,-13.0,-9.0
27,-13.0,-11.0
28,-13.0,-1.0
29,-13.0,-3.0
30,-13.0,-7.0
31,-13.0,-5.0
32,-9.0,15.0
33,-9.0,13.0
34,-9.0,9.0
35,-9.0,11.0
36,-9.0,1.0
37,-9.0,3.0
38,-9.0,7.0
39,-9.0,5.0
40,-9.0,-15.0
41,-9.0,-13.0
42,-9.0,-9.0
43,-9.0,-11.0
44,-9.0,-1.0
45,-9.0,-3.0
46,-9.0,-7.0
47,-9.0,-5.0
48,-11.0,15.0
49,-11.0,13.0
50,-11.0,9.0
51,-11.0,11.0
52,-11.0,1.0
53,-11.0,3.0
54,-11.0,7.0
55,-11.0,5.0
56,-11.0,-15.0
57,-11.0,-13.0
58,-11.0,-9.0
59,-11.0,-11.0
60,-11.0,-1.0
61,-11.0,-3.0
62,-11.0,-7.0
63,-11.0,-5.0
64,-1.0,15.0
65,-1.0,13.0
66,-1.0,9.0
67,-1.0,11.0
68,-1.0,1.0
69,-1.0,3.0
70,-1.0,7.0
71,-1.0,5.0
72,-1.0,-15.0
73,-1.0,-13.0
74,-1.0,-9.0
75,-1.0,-11.0
76,-1.0,-1.0
77,-1.0,-3.0
78,-1.0,-7.0
79,-1.0,-5.0
80,-3.0,15.0
81,-3.0,13.0
82,-3.0,9.0
83,-3.0,11.0
84,-3.0,1.0
85,-3.0,3.0
86,-3.0,7.0
87,-3.0,5.0
88,-3.0,-15.0
89,-3.0,-13.0
90,-3.0,-9.0
91,-3.0,-11.0
92,-3.0,-1.0
93,-3.0,-3.0
94,-3.0,-7.0
95,-3.0,-5.0
96,-7.0,15.0
97,-7.0,13.0
98,-7.0,9.0
